Unnamed: 0,Authors,Title,Year,Link,Authors with Affiliations,Abstract
0,Eric Allamanche,Content-based Identification of Audio Material Using MPEG-7 Low Level Description.,2001,https://doi.org/10.5281/zenodo.1417853,"Eric Allamanche, Fraunhofer IIS-A;Bernhard Fröba, Fraunhofer IIS-A;Jürgen Herre, Fraunhofer IIS-A;Thorsten Kastner, Fraunhofer IIS-A;Oliver Hellmuth, Fraunhofer IIS-A;Markus Cremer, Fraunhofer IIS-A / AEMT",[TODO] Add abstract here.
1,Jérôme Barthélemy,Figured Bass and Tonality Recognition.,2001,https://doi.org/10.5281/zenodo.1417161,"Jerome Barthélemy, Ircam;Alain Bonardi, Ircam",[TODO] Add abstract here.
2,William P. Birmingham,MUSART: Music Retrieval Via Aural Queries.,2001,https://doi.org/10.5281/zenodo.1415810,"William P. Birmingham, University of Michigan;Roger B. Dannenberg, Carnegie Mellon University;Gregory H. Wakefield, University of Michigan;Mark Bartsch, University of Michigan;David Bykowski, University of Michigan;Dominic Mazzoni, University of Michigan;Colin Meek, University of Michigan;Maureen Mellody, University of Michigan;William Rand, University of Michigan",[TODO] Add abstract here.
3,Arbee L. P. Chen,Building a Platform for Performance Study of Various Music Information Retrieval Approaches.,2001,https://doi.org/10.5281/zenodo.1414822,"Jia-Lien Hsu, Department of Computer Science, National Tsing Hua University, Hsinchu, Taiwan 300, R.O.C.;Arbee L.P. Chen, Department of Computer Science, National Tsing Hua University, Hsinchu, Taiwan 300, R.O.C.",[TODO] Add abstract here.
4,Roger B. Dannenberg,Music Information Retrieval as Music Understanding.,2001,https://doi.org/10.5281/zenodo.1418263,"Roger B. Dannenberg, Carnegie Mellon University",[TODO] Add abstract here.
5,Shyamala Doraisamy,An Approach Towards A Polyphonic Music Retrieval System.,2001,https://doi.org/10.5281/zenodo.1415622,"Shyamala Doraisamy, Dept. of Computing, Imperial College;Stefan M Rüger, Dept. of Computing, Imperial College",[TODO] Add abstract here.
6,Matthew J. Dovey,A Technique for Regular Expression Style Searching in Polyphonic Music.,2001,https://doi.org/10.5281/zenodo.1416140,"Matthew J. Dovey, Visiting Research Fellow, Dept. of Computer Science, Kings College, London",[TODO] Add abstract here.
7,Michael Droettboom,Expressive and Efficient Retrieval of Symbolic Musical Data.,2001,https://doi.org/10.5281/zenodo.1417741,"Michael Droettboom, The Peabody Institute, The Johns Hopkins University;Ichiro Fujinaga, The Peabody Institute, The Johns Hopkins University;Karl MacMillan, The Peabody Institute, The Johns Hopkins University;Mark Patton, Digital Knowledge Center, Milton S. Eisenhower Library, The Johns Hopkins University;James Warner, Digital Knowledge Center, Milton S. Eisenhower Library, The Johns Hopkins University;G. Sayeed Choudhury, Digital Knowledge Center, Milton S. Eisenhower Library, The Johns Hopkins University;Tim DiLauro, Digital Knowledge Center, Milton S. Eisenhower Library, The Johns Hopkins University",[TODO] Add abstract here.
8,Adriane Durey,Melody Spotting Using Hidden Markov Models.,2001,https://doi.org/10.5281/zenodo.1415680,"Adriane Swalm Durey, Center for Signal and Image Processing, School of Electrical and Computer Engineering, Georgia Institute of Technology;Mark A. Clements, Center for Signal and Image Processing, School of Electrical and Computer Engineering, Georgia Institute of Technology",[TODO] Add abstract here.
9,Ludger Hofmann-Engl,Towards a Cognitive Model of Melodic Similarity.,2001,https://doi.org/10.5281/zenodo.1417359,"Ludger Hofmann-Engl, Keele University UK",[TODO] Add abstract here.
